statute,description,subject_no,trr_id
625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112,96467
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112,96467
625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112,96467
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112,96467
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112,96467
720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19295302,96470
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295302,96470
720 ILCS 570.0/402-A-2-A,PCS - POSSESS 15<100 GRAMS COCAINE,19295302,96470
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295302,96470
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295355,96471
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295355,96471
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295355,96472
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295355,96472
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397,96473
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397,96474
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19295423,96475
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295423,96475
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397,96476
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295319,96477
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295319,96477
720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295319,96477
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295319,96477
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295319,96478
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295319,96478
720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295319,96478
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295319,96478
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295330,96479
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295330,96479
720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295330,96479
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295330,96479
520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295330,96480
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295330,96480
720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295330,96480
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295330,96480
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,0,96482
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,0,96482
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524,96483
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524,96483
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524,96483
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524,96484
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524,96484
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524,96484
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524,96485
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524,96485
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524,96485
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524,96486
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524,96486
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524,96486
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19295878,96487
720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19295878,96487
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295878,96487
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295878,96487
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295878,96487
8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19295878,96487
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19295878,96489
720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19295878,96489
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295878,96489
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295878,96489
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295878,96489
8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19295878,96489
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295867,96490
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295867,96490
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295867,96490
720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295867,96491
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295867,96491
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295867,96491
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295913,96492
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295913,96492
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295913,96492
9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19295913,96492
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295913,96493
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295913,96493
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295913,96493
9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19295913,96493
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296025,96496
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296025,96496
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296025,96497
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296025,96497
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19295730,96498
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295730,96498
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295730,96498
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19295730,96499
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295730,96499
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295730,96499
720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130,96500
720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130,96500
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130,96500
720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130,96500
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130,96500
720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130,96501
720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130,96501
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130,96501
720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130,96501
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130,96501
720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130,96502
720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130,96502
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130,96502
720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130,96502
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130,96502
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296186,96503
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296186,96503
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296186,96503
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296189,96504
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296189,96504
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296189,96504
625 ILCS 5.0/11-1427.4-3,ATTEMPT TO FLEE/ELUDE OFFICER,19296197,96506
625 ILCS 5.0/11-502-B,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,19296197,96506
625 ILCS 5.0/11-801,IVC - IMPROPER TURN AT INTERSECTION,19296197,96506
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296197,96506
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19296197,96506
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296197,96506
720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19296197,96506
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296197,96506
625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19296233,96508
625 ILCS 5.0/12-405-C,IVC - USE UNSAFE TIRE 1ST & 2ND,19296233,96508
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296309,96509
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296309,96509
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296309,96509
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19296309,96509
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296309,96509
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296309,96509
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296309,96510
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296309,96510
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296309,96510
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19296309,96510
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296309,96510
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296309,96510
625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356,96511
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356,96511
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356,96511
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356,96511
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356,96511
9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356,96511
625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356,96512
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356,96512
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356,96512
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356,96512
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356,96512
9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356,96512
625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356,96513
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356,96513
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356,96513
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356,96513
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356,96513
9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356,96513
625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356,96514
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356,96514
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356,96514
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356,96514
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356,96514
9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356,96514
10-8-515,SOLICITING UNLAWFUL BUSINESS,19296377,96515
720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED FIREARM,19296377,96515
720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/<21            ,19296377,96515
720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19296377,96515
625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356,96516
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356,96516
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356,96516
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356,96516
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356,96516
9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356,96516
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19296380,96517
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296380,96517
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19296380,96518
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296380,96518
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19296460,96519
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296460,96519
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19296460,96519
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19296460,96520
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296460,96520
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19296460,96520
625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19296683,96521
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296683,96521
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296683,96521
9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19296683,96521
9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19296683,96521
625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19296683,96522
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296683,96522
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296683,96522
9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19296683,96522
9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19296683,96522
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296706,96523
720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19296706,96523
720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19296719,96524
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929,96530
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929,96530
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929,96530
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929,96531
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929,96531
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929,96531
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929,96532
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929,96532
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929,96532
720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929,96533
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929,96533
720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929,96533
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297120,96537
720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19297120,96537
720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19297120,96537
720 ILCS 5.0/25-5-A-4,STREETGANG CONTACT/PAROLE,19297120,96537
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297120,96537
8-26-030-A,INITIAL GUN OFFENDER REGISTRATION,19297120,96537
8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19297120,96537
720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19297127,96538
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19297127,96538
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297127,96538
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297127,96538
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297127,96538
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19297161,96540
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297161,96540
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19297485,96545
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19297485,96545
720 ILCS 5.0/24-1.6-A-2,AGG UUW/ON PERSON,19297530,96546
720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19297530,96546
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297530,96546
720 ILCS 5.0/12-3.05-D-6,AGG BATTERY/GOVERNMENT EMP,19297625,96547
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297625,96547
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19297670,96548
720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19297670,96548
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297670,96548
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297670,96548
720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19297345,96549
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19297345,96549
720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,19297345,96549
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297345,96549
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297696,96550
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297696,96550
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297696,96551
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297696,96551
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297766,96552
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19297766,96552
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297766,96553
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19297766,96553
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297791,96554
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297791,96554
720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19297791,96554
720 ILCS 550.0/5.2-D,CANNABIS - MFG/DEL - SCHOOL - 2.5-10 GRMS,19297791,96554
720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297791,96555
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297791,96555
720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19297791,96555
720 ILCS 550.0/5.2-D,CANNABIS - MFG/DEL - SCHOOL - 2.5-10 GRMS,19297791,96555
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19297826,96556
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19297826,96556
625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19297826,96557
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19297826,96557
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297927,96559
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19297927,96559
8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19297927,96559
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297927,96560
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19297927,96560
8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19297927,96560
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19298123,96564
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19298123,96564
720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS A OFFENSE,19298123,96564
720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19298123,96564
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19298159,96566
720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19298159,96566
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19298159,96566
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19298159,96566
720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19298160,96567
